Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635792300000,60757.65000000,60757.65000000,60525.56000000,60571.35000000,1.61466400,1635793199999,97982.72024147,82,0.00758600,459.95219424,0
1635793200000,60517.70000000,61154.58000000,60342.17000000,60963.00000000,7.93745000,1635794099999,482276.36358848,485,5.41047500,328771.81129591,0
1635794100000,60947.30000000,61138.53000000,60937.62000000,61074.97000000,2.15961700,1635794999999,131770.46478864,108,1.29610200,79085.08176147,0
1635795000000,61054.31000000,61067.15000000,60858.57000000,60872.99000000,0.52656600,1635795899999,32093.58298937,62,0.21770700,13274.36007151,0
1635795900000,60887.28000000,61448.94000000,60865.42000000,61448.94000000,3.48368600,1635796799999,213288.34612282,197,2.86375200,175414.39845414,0
1635796800000,61426.28000000,61426.28000000,60952.50000000,61142.17000000,8.04306200,1635797699999,492350.76813912,283,4.67449500,286093.12374248,0
1635797700000,61170.02000000,61170.02000000,60895.58000000,60902.49000000,1.46093500,1635798599999,89173.67097053,81,0.81751700,49909.50549777,0
1635798600000,60883.46000000,60911.41000000,60583.58000000,60678.09000000,3.37671200,1635799499999,204957.23291385,208,2.65930100,161418.17604238,0
1635799500000,60717.33000000,60749.17000000,60581.97000000,60632.12000000,1.08400700,1635800399999,65786.04563658,39,0.69450200,42160.81864107,0
1635800400000,60660.14000000,60660.14000000,60419.53000000,60537.68000000,1.91109800,1635801299999,115700.03460472,94,1.42180500,86073.11049444,0
1635801300000,60494.65000000,60723.77000000,60481.60000000,60659.57000000,1.41742500,1635802199999,85901.12571983,53,0.79462000,48167.62632113,0
1635802200000,60605.57000000,60708.04000000,60580.72000000,60690.92000000,0.80590300,1635803099999,48876.11275666,25,0.49441300,29990.19479963,0
1635803100000,60690.92000000,60888.28000000,60690.92000000,60801.07000000,0.95284400,1635803999999,57867.29846212,44,0.60696700,36859.48637230,0
1635804000000,60742.29000000,60902.49000000,60732.22000000,60826.69000000,1.18243600,1635804899999,71944.25457601,66,0.53902400,32802.87273779,0
1635804900000,60871.01000000,61058.98000000,60816.83000000,61001.88000000,1.33292200,1635805799999,81282.34376415,78,1.01551600,61920.83575623,0
1635805800000,61000.00000000,61154.58000000,61000.00000000,61154.58000000,3.75672600,1635806699999,229433.37912694,104,3.12735000,190969.01116150,0
1635806700000,61148.52000000,61148.52000000,61079.48000000,61079.48000000,0.54257900,1635807599999,33149.62376757,25,0.04340300,2651.93546013,0
1635807600000,61066.63000000,61170.02000000,61066.55000000,61121.15000000,1.46944600,1635808499999,89815.28630309,52,0.93502000,57150.13392309,0
1635808500000,61104.55000000,61104.55000000,61056.81000000,61056.81000000,0.39070300,1635809399999,23865.48500946,37,0.04895300,2989.98103576,0
1635809400000,61052.22000000,61112.00000000,61004.68000000,61112.00000000,0.56974600,1635810299999,34815.32856522,27,0.50773000,31027.88257407,0
1635810300000,61134.51000000,61135.24000000,60894.59000000,60913.60000000,1.49493400,1635811199999,91264.66894934,72,0.73456100,44843.35356721,0
1635811200000,60891.41000000,61263.45000000,60737.02000000,61138.92000000,2.56738400,1635812099999,156552.39416233,156,1.47126700,89652.40203226,0
1635812100000,61218.71000000,61445.66000000,61197.80000000,61333.57000000,4.88563600,1635812999999,299702.06042964,198,3.93987900,241708.07316452,0
1635813000000,61342.05000000,61342.05000000,60651.05000000,60658.71000000,2.08246800,1635813899999,126958.26797851,207,1.29000000,78659.26488180,0
1635813900000,60650.37000000,60966.26000000,60650.37000000,60966.26000000,1.41498400,1635814799999,86020.00069005,67,0.96844600,58878.84959950,0
1635814800000,60974.11000000,61004.75000000,60767.14000000,60983.09000000,1.87158000,1635815699999,113870.22666632,83,1.15586200,70298.65861331,0
1635815700000,60943.92000000,61549.73000000,60923.83000000,61344.50000000,10.21685300,1635816599999,627184.88728339,302,6.80640600,417712.71839835,0
1635816600000,61335.29000000,61344.51000000,61153.58000000,61176.12000000,2.95225400,1635817499999,180857.11482431,187,2.31788800,141994.32310712,0
1635817500000,61181.80000000,61397.59000000,61091.87000000,61325.52000000,4.35926900,1635818399999,267011.59730460,124,3.94645800,241736.35463698,0
1635818400000,61330.35000000,61423.61000000,61138.53000000,61186.51000000,2.43479400,1635819299999,149128.68176270,84,1.76301700,107991.46936602,0
1635819300000,61176.31000000,61326.09000000,61073.03000000,61137.89000000,4.70729200,1635820199999,287902.75606550,165,3.12766500,191299.61911300,0
1635820200000,61157.41000000,61240.32000000,60923.20000000,60923.20000000,3.67903800,1635821099999,224791.90658558,129,3.12413000,190937.13974558,0
1635821100000,60938.35000000,60982.70000000,60838.20000000,60908.32000000,1.12582600,1635821999999,68558.30034085,69,0.57229700,34848.79544567,0
1635822000000,60908.32000000,61030.59000000,60788.80000000,60870.34000000,2.40001900,1635822899999,146210.78133532,103,1.48178100,90295.76157129,0
1635822900000,60898.54000000,60997.92000000,60776.79000000,60988.52000000,1.29616300,1635823799999,78959.91734107,88,0.87412700,53278.08111169,0
1635823800000,61034.57000000,61058.46000000,60940.04000000,61030.84000000,0.77806400,1635824699999,47474.46105110,56,0.58840900,35902.89450472,0
1635824700000,61006.09000000,61135.48000000,61006.09000000,61089.45000000,0.91373400,1635825599999,55834.07623002,53,0.42640800,26056.20327209,0
